user_screen_name,user_followers_count
elsollatinonews,1860
MediasetTgcom24,1067661
snarke,1185
trumpytweeter,32
Ranaabtar,5393
FarrisFlagg,2363
wilsonfire9,75
sm_gulledge,766
jamieo33,151
JohnnyQuest22,8
Dose_Dissonance,4622
changeillinois,1396
Anchorman_USA,496
SebWrites,2755
FreebieDepot,6402
Hervorrager,828
officepools_com,967
Cheryl84037124,49
MoClarker,101
Webinfotech,275
andThisAndThat,5974
InfamousOne13,361
william7424,1776
Amambo12Carlos,2002
Sainter_Boys,617
ubaldireports,83
The_Dickinson,625
bayleewashere,1952
kleensamsonite,3847
conserv_tribune,74657
ClauMor32263091,1700
Reddmanx,209
RickenRich,604
FLPublicAffairs,358
thereseflanagan,8345
bentepmail,413
vapermom,296
LeeSaunders72,1069
berryleonard,10
dino0726,1988
TheLaughMakers,1855
CommonToadnMd,83
acceptjesusnow,2589
roshannnikhil,841
refragium,4
3_X_Taeglich,128
InconvenientTr5,812
jmac4thepeople,1253
MenroeR,1
RissmillerKevin,373
ageofhorus,64
NikkiPayge,323
LBlogher,16
CreatureKingdom,122
sbthro,173
DhLadylaw,3070
MSTracewell,292
blakeagriffin_,617
SaintsChick889,37
uncle_sam19,2
CheriMeshevsky,73
LNorrisATL,2753
JoR3LofKrypton,569
VoteBh2020,681
LaPieta4,12
AMERICANWILDMAN,110
Seifferlein,430
magicmikeinsd,239
markburgerenerg,2923
AinanDesign,4
Make__More,14
ZenithUpwards,335
Maddo1976,252
ElectionRobot,129
MikeLongCounty,413
Metatro46077255,214
DustinLEllis1,1
JohnPark214,4340
paulcline7,1656
violetrenee7,113
1RuleGuitar,34
postersusa,1219
DevinAyresMom,143
Reyhombre1,55
cybrpete,2861
GuardianEnglish,16
Kegan05,16172
BrooklynMarylee,474
PansanPen,242
emergencycovid,0
DrMovieManiac,39
DemocratNel,199
smiff_dee,88
jlevija87,58
kennoJT,59
chickwerner,1456
tleiker,487
EquestrianTrump,70
ArmedPatriot45,20636
ItsMeDYK,6755
VetrepreneurOne,951
DebbieColburn1,34
TraciMorrisonFL,1045
egoyibo55,2467
ElectrikOne,1313
R1ch1e5,8063
celebritykdawg5,114
PammyDee,1173
cLovis_buford,229
MayorSackJones,1317
stevehalltweets,830
RockyMtnCivil,4281
ChristianVoters,109
_happinesstoy,214
sandeepppatel,91
Y0ungScratch,108
realmanupoz32,201
hootsmom,441
MalcolmCowing,1349
borden_bk,434
WildcatFan178,366
joebessemer,98
callbass,63
SandraEckersley,4555
ActionnowI,4010
MissRed80614542,0
RealRedDebate,2045
pauleaman,110
MattRSchaefer,2133
AxtoxthexO,711
NewsToter,3929
kncdaniels,1324
LSocmail,28
pepp32948008,3
DianneBarr8,5084
SpeaksAthena,1639
greeneyes3470,263
etbreck,337
brunolp30,2360
PROGRESSIVELIBE,1017
tweedyBard,133
DorothyBeach,2949
smarthealthtalk,707
MedPierre,1394
DDGrubu,69126
PedroGutierrez1,2366
Wwlasss,3289
C71785849,58
megacoolmike,69
AwakenedOutlaw,94926
ItsBrandonBoyd,145
NJCommonSense,15060
mrballoonpimp,907
Latinas_4_Trump,109
TheGlobalHerald,271
Megaphone_Jeff,4167
MeredithJanik3,19
surepresentante,3251
EthanR_92,546
robinsnewswire,24486
elpopular_pe,82201
KelliLeane,398
IcabadCartman,19685
DebraISchafer,3940
WandS_Headlines,834
Carter77,204
ChuckCa74732124,523
DJGEE,26817
Band_Dad,647
Merky_Merk,3
osvaldopavez,957
worldincrisis1,2942
thejoshuablog,6614
SwiftlySherlock,20
EricJinoian,129
JoshStratton8,287
kimballkan56,67
ccplus,12039
LarryK1152,102
Scralgy,416
Terris_Muhammad,371
SergioTALADRIZ,998
votebyedon2020,0
Stevedark79,279
hkb35,555
BLUNT05194958,387
HvntersReport,63
sparkyb1,2949
GregoryGLake,84
jeffreyfarny,173
VespergenikReUp,118
ToeKneeResist,36053
mr_bluetown,2314
24matins_uk,2490
GreenThaifood,1439
95_patti,40
MH88490684,11
Ljubica48,1239
dttc2020,0
AJG_is_me,58
scarrillotv,9099
Brooklynmonk,2138
