id,restaurant_id,serve_type_id,meal_type_id,hot_cold,meal_name,price
1,1,1,2,Cold,Meal 1,43.22
2,1,2,4,Hot,Meal 2,29.22
3,1,3,1,Cold,Meal 3,37.34
4,1,3,2,Hot,Meal 4,52.41
5,1,3,2,Cold,Meal 5,27.75
6,1,3,2,Cold,Meal 6,32.08
7,1,3,2,Cold,Meal 7,55.17
8,1,2,1,Hot,Meal 8,39.81
9,1,2,2,Cold,Meal 9,34.31
10,1,1,3,Hot,Meal 10,32.43
11,2,1,2,Cold,Meal 11,24.67
12,2,3,1,Cold,Meal 12,26.12
13,2,1,1,Cold,Meal 13,34.96
14,2,2,4,Hot,Meal 14,34.4
15,2,1,1,Cold,Meal 15,45.35
16,2,3,1,Hot,Meal 16,38.48
17,2,1,2,Hot,Meal 17,77.65
18,2,1,1,Hot,Meal 18,31.91
19,2,1,4,Cold,Meal 19,33.76
20,2,1,4,Cold,Meal 20,48.73
21,2,2,4,Hot,Meal 21,43.51
22,3,1,4,Hot,Meal 22,33.51
23,3,1,2,Hot,Meal 23,24.77
24,3,2,3,Hot,Meal 24,34.91
25,3,3,2,Hot,Meal 25,34.89
26,3,1,3,Hot,Meal 26,37.33
27,3,3,1,Hot,Meal 27,21.26
28,4,3,2,Hot,Meal 28,71.06
29,4,3,2,Cold,Meal 29,44.06
30,4,2,3,Hot,Meal 30,72.86
31,4,1,4,Cold,Meal 31,64.13
32,4,3,2,Cold,Meal 32,32.75
33,4,2,1,Cold,Meal 33,70.79
34,4,1,3,Cold,Meal 34,72.42
35,4,3,1,Hot,Meal 35,75.0
36,4,3,1,Cold,Meal 36,39.06
37,4,2,4,Hot,Meal 37,50.87
38,4,1,2,Hot,Meal 38,20.14
39,5,3,2,Cold,Meal 39,31.07
40,5,3,2,Cold,Meal 40,57.18
41,5,1,2,Hot,Meal 41,59.37
42,5,1,3,Cold,Meal 42,50.04
43,5,2,1,Cold,Meal 43,41.82
44,5,2,2,Hot,Meal 44,40.59
45,5,2,1,Hot,Meal 45,40.47
46,5,1,4,Hot,Meal 46,27.64
47,5,2,3,Cold,Meal 47,72.77
48,5,3,1,Hot,Meal 48,32.18
49,5,1,2,Cold,Meal 49,22.29
50,5,3,2,Cold,Meal 50,31.07
51,5,2,2,Cold,Meal 51,33.01
52,6,1,4,Hot,Meal 52,30.34
53,6,2,4,Hot,Meal 53,45.2
54,6,2,3,Cold,Meal 54,31.18
55,6,2,2,Cold,Meal 55,23.41
56,6,3,2,Hot,Meal 56,44.59
57,6,2,3,Hot,Meal 57,39.17
58,6,1,2,Hot,Meal 58,50.3
59,7,2,4,Cold,Meal 59,71.06
60,7,1,4,Cold,Meal 60,37.98
61,7,2,3,Cold,Meal 61,32.94
62,7,2,4,Cold,Meal 62,34.95
63,7,2,2,Cold,Meal 63,39.08
64,7,3,2,Cold,Meal 64,40.05
65,7,3,1,Cold,Meal 65,34.95
66,7,2,3,Hot,Meal 66,22.09
67,7,3,2,Cold,Meal 67,63.62
68,7,2,4,Hot,Meal 68,40.0
69,7,3,1,Cold,Meal 69,67.95
70,7,3,2,Hot,Meal 70,49.04
71,7,1,4,Hot,Meal 71,76.32
72,7,3,2,Hot,Meal 72,20.82
73,7,2,4,Hot,Meal 73,22.97
74,7,1,1,Cold,Meal 74,49.62
75,8,3,2,Hot,Meal 75,80.69
76,8,2,3,Cold,Meal 76,27.16
77,8,3,2,Hot,Meal 77,78.81
78,8,3,2,Cold,Meal 78,27.57
79,8,2,2,Hot,Meal 79,37.41
80,8,1,2,Hot,Meal 80,37.08
81,8,3,2,Cold,Meal 81,64.56
82,8,1,2,Cold,Meal 82,36.15
83,8,1,2,Hot,Meal 83,63.93
84,8,1,1,Hot,Meal 84,52.02
85,9,2,3,Cold,Meal 85,49.5
86,9,3,2,Cold,Meal 86,47.59
87,9,3,2,Cold,Meal 87,39.45
88,9,3,2,Cold,Meal 88,32.09
89,9,2,1,Cold,Meal 89,34.9
90,9,3,2,Cold,Meal 90,50.01
91,9,2,2,Hot,Meal 91,38.71
92,9,3,1,Hot,Meal 92,61.83
93,9,3,2,Hot,Meal 93,36.37
94,9,1,2,Cold,Meal 94,39.21
95,9,3,2,Cold,Meal 95,54.81
96,10,3,2,Cold,Meal 96,46.14
97,10,2,3,Cold,Meal 97,23.58
98,10,3,2,Hot,Meal 98,68.68
99,10,3,1,Cold,Meal 99,35.61
100,10,2,3,Hot,Meal 100,64.29
101,10,3,2,Cold,Meal 101,31.69
102,10,3,2,Cold,Meal 102,79.39
103,10,1,4,Hot,Meal 103,75.4
104,10,1,3,Cold,Meal 104,33.73
105,10,1,3,Cold,Meal 105,79.36
106,10,1,1,Cold,Meal 106,25.81
107,10,1,2,Cold,Meal 107,62.44
108,10,1,4,Cold,Meal 108,68.18
109,11,1,4,Cold,Meal 109,46.68
110,11,1,4,Hot,Meal 110,69.48
111,11,1,4,Hot,Meal 111,58.45
112,11,2,2,Hot,Meal 112,66.7
113,11,1,4,Cold,Meal 113,30.12
114,11,1,3,Hot,Meal 114,76.3
115,11,2,4,Hot,Meal 115,62.16
116,11,3,2,Cold,Meal 116,43.96
117,11,2,2,Hot,Meal 117,53.81
118,11,3,1,Cold,Meal 118,32.87
119,11,3,2,Hot,Meal 119,80.92
120,11,2,1,Cold,Meal 120,52.26
121,11,1,1,Hot,Meal 121,63.32
122,12,3,1,Hot,Meal 122,31.07
123,12,2,2,Cold,Meal 123,26.23
124,12,1,4,Cold,Meal 124,53.98
125,12,3,2,Cold,Meal 125,23.07
126,12,3,1,Cold,Meal 126,31.51
127,12,3,1,Hot,Meal 127,30.93
128,12,2,4,Hot,Meal 128,68.15
129,12,2,2,Hot,Meal 129,36.65
130,12,2,1,Hot,Meal 130,66.07
