id,order_id,meal_id
1,3,176
2,5,349
3,5,348
4,5,344
5,5,348
6,6,290
7,6,291
8,6,293
9,7,252
10,7,249
11,7,241
12,7,243
13,8,2
14,8,10
15,8,9
16,10,219
17,10,221
18,10,222
19,10,215
20,10,219
21,11,283
22,11,282
23,11,274
24,13,61
25,14,199
26,14,199
27,14,203
28,15,74
29,15,73
30,16,184
31,16,182
32,16,182
33,16,177
34,16,185
35,18,213
36,18,214
37,20,210
38,20,210
39,20,213
40,21,143
41,21,140
42,21,140
43,21,144
44,22,83
45,22,82
46,23,334
47,23,336
48,23,333
49,23,332
50,25,294
51,25,286
52,26,214
53,26,206
54,26,212
55,27,111
56,27,111
57,27,119
58,27,109
59,28,328
60,29,163
61,29,173
62,31,328
63,31,327
64,31,329
65,33,82
66,33,83
67,34,36
68,35,89
69,35,90
70,35,87
71,36,222
72,37,271
73,38,44
74,39,251
75,39,250
76,39,250
77,39,251
78,40,129
79,40,124
80,40,122
81,41,60
82,41,66
83,42,263
84,42,267
85,43,221
86,43,223
87,43,224
88,46,234
89,46,234
90,46,229
91,47,210
92,47,205
93,47,205
94,47,207
95,47,211
96,48,136
97,49,171
98,50,305
99,52,207
100,52,205
101,54,332
102,54,332
103,54,331
104,54,334
105,55,95
106,55,91
107,55,87
108,55,87
109,56,58
110,56,54
111,56,52
112,58,79
113,58,84
114,59,335
115,60,3
116,60,8
117,60,1
118,60,9
119,60,9
120,62,299
121,62,301
122,62,310
123,62,304
124,63,333
125,65,152
126,65,156
127,65,150
128,66,219
129,66,222
130,66,223
131,66,219
132,67,328
133,67,327
134,68,330
135,68,335
136,69,181
137,70,303
138,71,188
139,72,144
140,72,136
141,72,137
142,72,146
143,73,136
144,74,246
145,75,120
146,76,23
147,76,27
148,76,26
149,76,25
150,77,203
151,78,172
152,78,165
153,79,4
154,79,6
155,79,1
156,79,10
157,79,7
158,80,205
159,80,211
160,82,298
161,82,295
162,82,294
163,82,287
164,83,24
165,83,22
166,83,24
167,83,27
168,84,71
169,85,80
170,85,83
171,87,28
172,87,33
173,88,15
174,88,17
175,88,19
